1693772664708|9|statement|connection 1|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693772664709|10|statement|connection 16|url jdbc:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693772664721|0|statement|connection 1|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693772664721|1|statement|connection 17|url jdbc:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693772676128|1|statement|connection 1|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693772676128|1|statement|connection 18|url jdbc:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693772676130|0|statement|connection 1|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693772676130|1|statement|connection 19|url jdbc:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693772858720|11|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693772858739|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693772897648|11|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
