2023-08-31 19:26:33.862 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 6392 (G:\Codes\SpringBoot-Learning\springboot-redis\target\classes started by vino in G:\Codes\SpringBoot-Learning\springboot-redis)
2023-08-31 19:26:33.864 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-31 19:26:34.586 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-31 19:26:34.589 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-08-31 19:26:34.626 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-08-31 19:26:35.178 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8898 (http)
2023-08-31 19:26:35.188 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8898"]
2023-08-31 19:26:35.190 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-31 19:26:35.191 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-08-31 19:26:35.303 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-31 19:26:35.304 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1382 ms
2023-08-31 19:26:35.695 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-08-31 19:27:41.668 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 14420 (G:\Codes\SpringBoot-Learning\springboot-redis\target\classes started by vino in G:\Codes\SpringBoot-Learning\springboot-redis)
2023-08-31 19:27:41.670 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-31 19:27:42.263 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-31 19:27:42.265 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-08-31 19:27:42.296 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-08-31 19:27:42.793 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8898 (http)
2023-08-31 19:27:42.802 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8898"]
2023-08-31 19:27:42.804 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-31 19:27:42.804 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-08-31 19:27:42.896 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
