2024-08-04 22:20:55.788 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 5764 (G:\Codes\GithubCodes\SpringBoot-Learning\springboot-redis\springboot-redis-lettuce\target\classes started by vino in G:\Codes\GithubCodes\SpringBoot-Learning\springboot-redis\springboot-redis-lettuce)
2024-08-04 22:20:55.806 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-04 22:20:56.666 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-04 22:20:56.669 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-04 22:20:56.699 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2024-08-04 22:20:57.353 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-08-04 22:20:57.363 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-08-04 22:20:57.367 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-08-04 22:20:57.367 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2024-08-04 22:20:57.469 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-04 22:20:57.469 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1556 ms
2024-08-04 22:20:58.420 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-08-04 22:20:58.442 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-08-04 22:20:58.458 [main] INFO  io.github.vino42.SpringbootRedisApplication - Started SpringbootRedisApplication in 3.281 seconds (process running for 4.979)
2024-08-04 22:38:36.234 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 3772 (G:\Codes\GithubCodes\SpringBoot-Learning\springboot-redis\springboot-redis-lettuce\target\classes started by vino in G:\Codes\GithubCodes\SpringBoot-Learning\springboot-redis\springboot-redis-lettuce)
2024-08-04 22:38:36.238 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-04 22:38:36.939 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-04 22:38:36.942 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-04 22:38:36.975 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2024-08-04 22:38:37.472 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
